"appId","appLabel","date","score","sentiment","themes","text","url"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-08-06T10:16:58.156Z","5","positive","updates;easy_useful;agent_workflow","Excellent app for real estate matters in Malaysia. Runs smoothly hope they keep it updated.","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=fe22c46f-553c-42e9-ad4f-b744a83c2c2b"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-08-03T11:46:46.190Z","5","positive","easy_useful","Good apps","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=a631c722-2956-46f9-bd43-cff83e778612"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-08-02T10:07:30.809Z","5","positive","easy_useful","Very useful","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=bdf452f1-1abf-40ba-a075-fed01edf4b88"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-08-01T23:00:11.729Z","5","positive","easy_useful;feature_depth","Good app to do our own dsr and other calculations. Keep it up","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=eee4a44a-7b4a-45e5-af2f-25ac4d82c587"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-07-22T02:09:37.931Z","5","positive","updates;first_home;easy_useful","Letting home buyers know what they get into with all ths cash needed for subsale or new property. Keep up the good work. Easy to use. Well updated to include certain discounts. Would be nice to have more a description of the fees that is being paid, helps first home buyer clear things up.","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=4828dc6f-a06d-44e7-ba2b-acf7a79adfd1"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-07-21T06:37:30.996Z","5","positive","easy_useful;feature_depth","Im mortgage banker , this apps Good to use, lots of calculation. 1 apps settle all the things","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=4c2e7941-f563-440f-bab5-2d3b9b85dc59"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-07-17T09:07:37.141Z","4","positive","easy_useful","Good app and very helpful","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=4ea2f81e-9dfd-49d9-9475-8d3630e0bd3b"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-07-16T02:19:55.631Z","5","positive","easy_useful","Very good apps..easy to use","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=3b77e949-4b1a-41a3-986d-400559076381"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-07-13T23:37:20.286Z","5","positive","easy_useful","Just install found it very useful","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=726d110a-9a44-4dc2-901e-c245b27d204e"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-07-12T13:53:57.492Z","5","positive","easy_useful","Good","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=3c7856a9-9537-40ea-ac17-5e1070e7f988"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-07-06T08:03:39.629Z","5","positive","ads;easy_useful","Good app. Best if can allow saving the input for a particular property. Ie. If I click into a saved file called Ara Damansara, then all the purchase price and rental income that was keyed in before had been saved. Helps with management of portfolio.","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=fb90cd95-d809-419b-b666-577538b38927"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-07-02T14:59:30.385Z","5","positive","easy_useful","Good","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=f34128ab-cfa6-4aae-af24-88c96807afb1"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-06-28T00:31:46.711Z","5","positive","easy_useful","Hmm, many agencies are using this... good apps","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=d516e107-c1c9-4377-b420-2af742755ccf"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-06-24T18:55:14.697Z","5","positive","feature_depth","Wow.. this app is complete. Appreciate the hardwork","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=4c9857e5-c1ff-4657-8e78-6333e7794aa6"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-06-21T18:49:16.198Z","5","positive","easy_useful","Good","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=82bfb21e-bff3-4877-ba3f-caa5c6c79571"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-06-21T08:42:01.456Z","5","positive","easy_useful","Easy to use","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=1b5448a7-9721-4696-81c9-6e7f60109d97"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-06-20T15:25:42.520Z","5","positive","easy_useful;feature_depth","Great, comprehensive & easy to use. Please make an iPhone version of this app!","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=6df3246f-61c4-4fed-b7a1-ac61cdcd37b0"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-06-07T05:59:39.174Z","5","positive","easy_useful","Easy to use","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=7e904498-5c7b-4d93-ba61-c38ab4f0b3b1"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-06-07T05:35:58.218Z","3","neutral","easy_useful","Good","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=b581cbd9-3d84-488c-8169-d9d7559f98bd"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-06-01T05:58:32.682Z","5","positive","feature_depth","V accurate n wth full details","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=60f33ed2-4bc9-4391-99c7-aba8013105f4"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-05-16T04:29:17.813Z","5","positive","feature_depth","It's very details property calculator. Recommend for those who buy or sell property","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=80aedb73-c078-4437-a963-e52db27d2332"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-05-03T07:51:17.335Z","5","positive","easy_useful","Good","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=f33f7a1e-0176-42e3-b619-d28c2304e90e"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-05-01T03:06:02.287Z","4","positive","easy_useful;feature_depth","Easy to understand. Complete with all kinds of property transactions - rental, refinance, valuation. Suggest to include basic MRTA/MRTT estimated calculation. Rgds","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=b63711b5-1ecf-4971-8232-a522c89ee5d2"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-04-09T03:20:55.270Z","5","positive","easy_useful","Nice","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=074278e8-429d-4bb3-b6ac-796efdbb2d10"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-03-31T04:02:40.630Z","5","positive","easy_useful","Good","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=232164cf-7a12-4199-981c-5db9fcda42a3"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-03-29T07:38:17.598Z","5","positive","easy_useful","Good apps","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=a7ffa33d-16d6-4bbb-8b18-19f87b6e30bd"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-03-28T10:32:49.656Z","5","positive","feature_depth","very comprehensive app","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=7f104563-c61e-4e4a-a83a-f219c48fa517"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-03-24T05:07:28.459Z","5","positive","easy_useful","Very useful","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=f376b747-71be-4070-bbc1-3a69ca95b716"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-03-20T11:59:20.573Z","5","positive","easy_useful","Great apps!!","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=a1925278-7016-49a3-a107-7a9f7f9bb643"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-03-12T04:45:28.547Z","4","positive","ads;accuracy;easy_useful","nice to use (31-10-2020) hi want to ask can add the penalty charge for late stamping the tenancy agreement (12-03-2021)","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=ce82bd9d-f0f3-46ab-8bd8-e5fc86a4dcb3"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-03-06T02:44:25.941Z","5","positive","easy_useful","Easy to use. All in one.","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=c7003377-c0cc-4dc6-95f0-e1d41cd2e2e7"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-02-26T16:12:17.806Z","5","positive","easy_useful","Really helpful","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=192b2d24-ffa2-4302-a242-ca1bd3d0e7f8"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-02-23T01:47:50.349Z","5","positive","easy_useful","Great app","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=aec702f7-6fa7-42cc-91c9-f93639bca16d"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-02-17T07:19:58.928Z","4","positive","easy_useful","Good app","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=7b024d5c-84a0-4263-ba42-c53728f6fd63"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-02-15T05:32:49.721Z","5","positive","easy_useful","Good","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=d90fdc9e-6cc9-438c-afc3-52d3bbcc8841"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-02-09T04:34:42.921Z","5","positive","ads","Bagus. Semuanya ada. Boleh buat anggaran kos untuk serve buyer. Sangat membantu.","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=aa64ce35-526c-4763-9e35-764a455af302"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-02-06T05:00:01.210Z","5","positive","easy_useful","Very good 👍","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=2e6695a0-b5c2-4475-8116-1787bfe4ce95"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-01-16T01:43:20.928Z","5","positive","easy_useful","Good","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=c36054ff-1171-444a-a352-40a6051858d4"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-01-12T06:49:22.882Z","4","positive","easy_useful","Easy to use","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=9da780e6-aa2d-49e8-82d3-9101c5709e18"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2021-01-03T14:54:27.737Z","5","positive","easy_useful","Nice and very useful app ! A lots of information I need can get from here","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=5252987a-b44c-4258-bec0-7d7311222619"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2020-12-30T18:03:27.710Z","5","positive","easy_useful","Easy to use, multi function and all the useful tabs and calculators are available","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=e4d81b8d-b5a6-4d5b-bb3f-1f94b67457d2"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2020-12-21T10:38:53.920Z","5","positive","updates;easy_useful","Great apps that with calculators, template and update","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=29a41e83-3877-40f4-b234-24e91c840a20"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2020-12-19T18:13:41.572Z","5","positive","accuracy;easy_useful;feature_depth","Omg. This app is very good. Help me a lots from the legal fee, DSR, mortgage calculation and more. Highly recommend for those who are new in property.","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=65030290-6de8-4894-9ec8-b66fccbdcbdd"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2020-12-19T03:43:26.759Z","5","positive","easy_useful","good apps ever","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=7495a72a-0c50-47da-800b-0864d4cc9fd7"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2020-12-17T13:43:43.949Z","5","positive","ads;easy_useful","Very good! I would say the best app I had used.","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=43c7cc4c-952d-410c-86d3-7b26be4226cf"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2020-12-15T15:34:06.855Z","5","positive","easy_useful","Very useful app as property negotiator","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=e8e2f014-4b3b-4f0a-803e-78e052081fc5"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2020-12-10T09:54:05.680Z","5","positive","feature_depth","Very comprehensive and detail","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=7a93809e-fe41-4ba4-9f5b-b141b09286e4"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2020-11-23T20:26:24.850Z","5","positive","ads;easy_useful;agent_workflow","Personally I really love to used this app. It's help me a lot when I meet my client, and I notice a lot of improvements has been made, it's easy to used for me, but if the person not really into real estate stuff and download this app, they might be confused a bit with which part to start with. Also, I would love to promoted this apps to others.","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=d1495661-88be-42a4-80a3-612f6ccbaae1"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2020-11-23T03:52:33.231Z","4","positive","easy_useful","Good","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=332c8076-b928-4191-ac42-745f94664691"
"syncteq.propertycalculatormalaysia","PCMY - Property Calculator Malaysia","2020-11-12T09:35:47.850Z","5","positive","easy_useful;feature_depth","Superb! Simple to use yet comprehensive.","https://play.google.com/store/apps/details?id=syncteq.propertycalculatormalaysia&reviewId=a6d04e0c-632b-425e-834d-694dcd8b257c"
